,Index,Date,macd_hist,Low,Close
0,1,2023-01-16,0.5071335164713995,35.55,36.7
1,2,2023-01-13,0.4215705814735431,34.4,35.5
2,3,2023-01-12,0.4316076305480294,35.5,36.2
3,4,2023-01-11,0.40140908494799277,35.95,36.35
4,5,2023-01-10,0.3671116557694116,36.0,36.4
5,6,2023-01-09,0.34078464399436026,36.6,37.0
6,7,2023-01-06,0.2747109179007303,36.0,36.5
7,8,2023-01-05,0.2639884988502841,36.5,37.05
8,9,2023-01-04,0.23656321624075982,35.45,37.75
9,10,2023-01-03,0.17047025585788234,36.75,36.95
10,11,2023-01-02,0.20180005068222773,35.6,38.65
11,12,2022-12-30,0.13201755031408346,37.45,37.45
12,13,2022-12-29,0.20275787919483523,39.4,39.4
